Country,2015,2016,2017
Myanmar,50,55,52
United States of America,44,46,#N/A
New Zealand,45,44,63
Canada,44,38,68
Australia,40,40,64
United Kingdom,32,33,58
Netherlands,36,33,46
Sri Lanka,48,49,50
Ireland,41,40,60
Malaysia,37,33,30
Kenya,43,42,64
Malta,26,28,40
Bahrain,30,#N/A,48
United Arab Emirates,22,21,54
Norway,32,31,45
Guatemala,41,36,51
Bhutan,38,39,#N/A
Kyrgyzstan,36,29,31
Thailand,14,17,36
Germany,32,27,56
Jamaica,38,#N/A,61
Indonesia,38,50,35
Austria,32,26,58
Kuwait,15,17,67
Liberia,46,34,76
Hong Kong,15,#N/A,50
Uzbekistan,43,27,41
Sweden,17,15,47
Puerto Rico,26,#N/A,55
Northern Cyprus,26,23,#N/A
Finland,30,31,42
Iran,24,21,38
Luxembourg,34,31,41
Singapore,27,23,35
Taiwan,20,17,#N/A
Costa Rica,27,23,55
Slovenia,35,34,40
Iraq,18,17,61
Denmark,21,23,45
Switzerland,27,31,60
Dominican Republic,35,37,52
Cyprus,25,25,45
Nigeria,32,25,61
Malawi,33,32,58
Mauritius,34,#N/A,#N/A
Philippines,42,42,48
Saudi Arabia,15,15,45
Belgium,26,28,45
Chile,16,16,49
South Africa,28,28,57
Zambia,29,24,59
Mongolia,34,39,32
Panama,31,32,43
Sierra Leone,25,28,75
Botswana,26,21,62
Kazakhstan,25,14,34
Uganda,24,31,59
Spain,20,17,44
Haiti,24,26,35
Honduras,33,41,41
Namibia,21,#N/A,49
Croatia,17,10,34
Ghana,27,26,57
Republic of Korea,21,18,#N/A
Bolivia,22,21,50
Colombia,20,19,63
Sudan,23,#N/A,69
South Sudan,24,31,#N/A
Nicaragua,20,23,39
Belize,26,#N/A,50
Turkmenistan,21,60,62
Italy,17,15,45
Tajikistan,37,19,48
France,30,29,28
Israel,21,24,47
Nepal,27,36,36
Uruguay,18,21,43
Poland,13,9,35
Vietnam,14,19,32
Guinea,20,20,61
United Republic of Tanzania,13,15,#N/A
Portugal,15,17,33
Albania,9,11,31
Afghanistan,9,15,55
Senegal,14,13,52
The former Yugoslav Republic of Macedonia,9,#N/A,#N/A
Zimbabwe,21,17,53
Bosnia and Herzegovina,8,4,#N/A
Ukraine,13,16,19
Mexico,18,13,50
Congo,14,15,51
Cameroon,12,24,56
Romania,7,7,28
Pakistan,12,11,20
Bangladesh,10,14,29
Lebanon,8,10,57
Ethiopia,13,18,38
Montenegro,7,8,31
Estonia,19,13,37
Cambodia,9,15,13
Madagascar,34,22,18
Japan,26,23,25
Belarus,16,22,32
Burkina Faso,11,19,41
Brazil,13,18,49
India,17,21,30
Cote d'Ivoire,8,7,45
Argentina,12,20,52
Mauritania,22,22,55
Latvia,9,11,34
Gabon,10,12,#N/A
Egypt,7,4,52
Georgia,21,18,37
Peru,16,26,42
Bulgaria,4,7,30
Kosovo,12,12,20
El Salvador,19,28,42
Jordan,5,11,33
Serbia,6,5,21
Republic of Moldova,14,17,#N/A
Mali,5,10,44
Azerbaijan,20,17,48
Slovakia,11,11,31
Hungary,11,9,32
Paraguay,10,19,28
Morocco,5,9,44
Democratic Republic of the Congo,14,#N/A,#N/A
Venezuela,11,13,37
Russian Federation,19,12,29
Czech Republic,13,14,37
Ecuador,10,16,35
Benin,11,18,37
Togo,9,19,33
Angola,17,#N/A,61
Niger,9,14,57
Chad,9,11,38
Rwanda,11,14,21
Armenia,7,6,51
Tunisia,6,11,61
Greece,7,8,28
Palestinian Territory,7,#N/A,39
Lithuania,8,11,33
Yemen,3,6,53
China,4,4,28
Burundi,10,#N/A,21
